Data_Year,Quarter,FUEL_TYPE,ZIP,Number of Vehicles
2011,NA,Electric,92082,1
2011,NA,PHEV,92082,2
2011,NA,Electric,92083,4
2011,NA,Electric,92084,7
2011,NA,PHEV,92084,4
2011,NA,Electric,92091,4
2011,NA,Electric,92093,7
2011,NA,Electric,92101,119
2011,NA,PHEV,92101,5
2011,NA,Electric,92102,4
2011,NA,Electric,92103,10
2011,NA,PHEV,92103,3
2011,NA,Electric,92104,17
2011,NA,PHEV,92104,3
2011,NA,Electric,92105,3
2011,NA,PHEV,92105,1
2011,NA,Electric,92106,7
2011,NA,PHEV,92106,1
2011,NA,Electric,92107,14
2011,NA,PHEV,92108,2
2011,NA,Electric,92109,13
2011,NA,PHEV,92109,1
2011,NA,Electric,92110,7
2011,NA,PHEV,92110,1
2011,NA,Electric,92111,7
2011,NA,PHEV,92111,5
2011,NA,Electric,92113,1
2011,NA,Electric,92114,2
2011,NA,PHEV,92114,3
2011,NA,Electric,92115,10
2011,NA,PHEV,92115,3
2011,NA,Electric,92116,11
2011,NA,PHEV,92116,3
2011,NA,Electric,92117,21
2011,NA,PHEV,92117,3
2011,NA,Electric,92118,8
2011,NA,PHEV,92118,3
2011,NA,Electric,92119,4
2011,NA,PHEV,92119,2
2011,NA,Electric,92120,13
2011,NA,Electric,92121,6
2011,NA,Electric,92122,21
2011,NA,PHEV,92122,3
2011,NA,Electric,92123,10
2011,NA,Electric,92124,11
2011,NA,PHEV,92124,3
2011,NA,Electric,92126,14
2011,NA,Electric,92127,20
2011,NA,PHEV,92127,2
2011,NA,Electric,92128,23
2011,NA,PHEV,92128,3
2011,NA,Electric,92129,29
2011,NA,PHEV,92129,7
2011,NA,Electric,92130,61
2011,NA,PHEV,92130,15
2011,NA,Electric,92131,21
2011,NA,PHEV,92131,7
2011,NA,Electric,92154,2
2011,NA,Electric,92201,1
2011,NA,PHEV,92201,1
2011,NA,PHEV,92210,2
2011,NA,Electric,92211,2
2011,NA,PHEV,92211,4
2011,NA,Electric,92234,2
2011,NA,PHEV,92234,2
2011,NA,PHEV,92240,2
2011,NA,PHEV,92241,1
2011,NA,PHEV,92243,1
2011,NA,Electric,92253,3
2011,NA,PHEV,92253,3
2011,NA,Electric,92260,1
2011,NA,PHEV,92260,2
2011,NA,Electric,92261,1
2011,NA,Electric,92262,2
2011,NA,Electric,92264,2
2011,NA,PHEV,92264,1
2011,NA,Electric,92270,2
2011,NA,PHEV,92270,3
2011,NA,Electric,92276,1
2011,NA,PHEV,92277,1
2011,NA,PHEV,92286,1
2011,NA,PHEV,92307,2
2011,NA,PHEV,92308,3
2011,NA,PHEV,92310,1
2011,NA,PHEV,92311,1
2011,NA,Electric,92313,1
2011,NA,PHEV,92317,2
2011,NA,Electric,92324,1
2011,NA,Electric,92335,1
2011,NA,Electric,92336,1
2011,NA,PHEV,92336,2
2011,NA,Electric,92344,1
2011,NA,PHEV,92344,1
2011,NA,Electric,92346,1
2011,NA,PHEV,92346,2
2011,NA,PHEV,92354,1
2011,NA,PHEV,92371,1
2011,NA,Electric,92373,1
2011,NA,PHEV,92373,3
2011,NA,PHEV,92374,3
2011,NA,Electric,92376,1
2011,NA,Electric,92382,1
2011,NA,PHEV,92392,2
2011,NA,PHEV,92399,1
2011,NA,Electric,92404,2
2011,NA,PHEV,92415,2
2011,NA,Electric,92501,2
